Rank	Time	Wind	First.Name	Last.Name	Country	Birthdate	Race	Location	Date
243	222	10.88	0.9	Kelly-Ann	Baptiste	TTO	14.10.86	2	PortofSpain	24.06.2017
244	244	10.89	0.7	Marlies	Gohr	GDR	21.03.58	1	Erfurt	01.06.1984
245	244	10.89	-0.1	Florence	Griffith-Joyner	USA	21.12.59	1	SanDiego	25.06.1988
246	244	10.89	2.0	Marlies	Gohr	GDR	21.03.58	1	Neubrandenburg	09.07.1988
247	244	10.89	1.8	Katrin	Krabbe	GER	22.11.69	1	Berlin	20.07.1988
248	244	10.89	1.8	Katrin	Krabbe	GER	22.11.69	1	Split	28.08.1990
249	244	10.89	-0.1	Merlene	Ottey	JAM	10.05.60	1q4	Tokyo	26.08.1991
250	244	10.89	1.6	Juliet	Cuthbert	JAM	09.04.64	2	Salamanca	13.07.1992
251	244	10.89	1.9	Irina	Privalova	RUS	12.11.68	1h3	Moskva	18.07.1992
252	244	10.89	0.6	Merlene	Ottey	JAM	10.05.60	1	Bruxelles	28.08.1992
253	244	10.89	-0.3	Gwen	Torrence	USA	12.06.65	3	Stuttgart	16.08.1993
254	244	10.89	0.4	Gwen	Torrence	USA	12.06.65	1	Linz	04.07.1994
255	244	10.89	-0.1	Gail	Devers	USA	19.11.66	1rA	Berlin	30.08.1996
256	244	10.89	0.5	Gail	Devers	USA	19.11.66	1	Lausanne	02.07.1997
257	244	10.89	0.0	Liu	Xiaomei	CHN	11.01.72	2	Shanghai	18.10.1997
258	244	10.89	2.0	Chryste	Gaines	USA	14.09.70	2	NewOrleans	20.06.1998
259	244	10.89	0.0	Chandra	Sturrup	BAH	12.09.71	1rA	Roma	11.07.2003
260	244	10.89	-0.1	Chryste	Gaines	USA	14.09.70	1rA	Zurich	15.08.2003
261	244	10.89	-0.2	Sherone	Simpson	JAM	12.08.84	1	Stuttgart	10.09.2006
262	244	10.89	1.0	Veronica	Campbell-Brown	JAM	16.05.82	1	Kingston	23.06.2007
263	244	10.89	-0.1	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	2	Thessaloniki	13.09.2009
264	244	10.89	1.2	Veronica	Campbell-Brown	JAM	16.05.82	2	Shanghai	20.09.2009
265	244	10.89	0.0	Veronica	Campbell-Brown	JAM	16.05.82	1	Zurich	19.08.2010
266	244	10.89	0.0	Carmelita	Jeter	USA	24.11.79	2	Zurich	19.08.2010
267	244	10.89	0.0	Veronica	Campbell-Brown	JAM	16.05.82	2s1	London	04.08.2012
268	244	10.89	1.5	Allyson	Felix	USA	18.11.85	5	London	04.08.2012
269	244	10.89	0.5	Blessing	Okagbare	NGR	10.09.88	2s1	Beijing	24.08.2015
270	244	10.89	-0.2	Veronica	Campbell-Brown	JAM	16.05.82	2s3	Beijing	24.08.2015
271	271	10.9	0.6	Evelyn	Ashford	USA	15.04.57	1r1	ColoradoSprings	22.07.1981
272	271	10.9	1.1	Marlies	Gohr	GDR	21.03.58	1	Karl-Marx-Stadt	16.06.1983
273	271	10.9	1.4	Anelia	Nuneva	BUL	30.06.62	1	Drama	08.08.1987
274	271	10.9	-0.4	Anelia	Nuneva	BUL	30.06.62	1	Sofia	15.08.1987
275	271	10.9	-0.5	Silke	Moller	GER	20.06.64	1	Roma	30.08.1987
276	271	10.9	-0.6	Merlene	Ottey	JAM	10.05.60	1	Monaco	07.08.1993
277	271	10.9	1.9	Irina	Privalova	RUS	12.11.68	1	Stockholm	12.07.1994
278	271	10.9	1.4	Irina	Privalova	RUS	12.11.68	3s1	Goteborg	07.08.1995
279	271	10.9	0.5	Marion	Jones	USA	12.10.75	2	Lausanne	02.07.1997
280	271	10.9	0.7	Zhanna	Block	UKR	06.07.72	1q1	Athinai	02.08.1997
281	271	10.9	0.6	Li	Xuemei	CHN	05.01.77	1h4	Shanghai	17.10.1997
282	271	10.9	-0.8	Marion	Jones	USA	12.10.75	1	Uniondale	19.07.1998
283	271	10.9	1.4	Glory	Alozie	NGR	30.12.77	1	LaLaguna	05.06.1999
284	271	10.9	1.0	Zhanna	Block	UKR	06.07.72	1	Bruxelles	30.08.2002
285	271	10.9	2.0	Torri	Edwards	USA	31.01.77	1	Carson	20.05.2007
286	271	10.9	-0.7	Veronica	Campbell-Brown	JAM	16.05.82	1rA	Shanghai	28.09.2007
287	271	10.9	1.0	Torri	Edwards	USA	31.01.77	2	Eugene	28.06.2008
288	271	10.9	1.0	Lauryn	Williams	USA	11.09.83	3	Eugene	28.06.2008
289	271	10.9	0.1	Carmelita	Jeter	USA	24.11.79	3	Berlin	17.08.2009
