mag.u,mag.g,mag.r,mag.i,mag.z
21.2994194030762,19.7068634033203,19.0132083892822,18.7225952148438,18.5346775054932
21.2994194030762,19.7068634033203,19.0132083892822,18.7225952148438,18.5346775054932
20.9914474487305,19.3992366790771,18.6821231842041,18.3731002807617,18.2741870880127
20.9914474487305,19.3992366790771,18.6821231842041,18.3731002807617,18.2741870880127
20.9914474487305,19.3992366790771,18.6821231842041,18.3731002807617,18.2741870880127
20.5503273010254,18.6507434844971,17.8309211730957,17.4820995330811,17.259349822998
20.5503273010254,18.6507434844971,17.8309211730957,17.4820995330811,17.259349822998
20.5503273010254,18.6507434844971,17.8309211730957,17.4820995330811,17.259349822998
20.5503273010254,18.6507434844971,17.8309211730957,17.4820995330811,17.259349822998
20.5503273010254,18.6507434844971,17.8309211730957,17.4820995330811,17.259349822998
20.5503273010254,18.6507434844971,17.8309211730957,17.4820995330811,17.259349822998
20.7583980560303,18.9483413696289,18.1647243499756,17.8024158477783,17.5866584777832
20.2914276123047,18.3003273010254,17.4815464019775,17.2028465270996,17.07666015625
20.2914276123047,18.3003273010254,17.4815464019775,17.2028465270996,17.07666015625
20.7030506134033,19.0813007354736,19.4993228912354,17.9893093109131,17.761589050293
20.7030506134033,19.0813007354736,19.4993228912354,17.9893093109131,17.761589050293
19.9086589813232,17.8229961395264,16.8473453521729,16.4196147918701,16.205530166626
20.8169231414795,19.2022151947021,18.5315399169922,18.1982860565186,18.0457096099854
20.6654987335205,19.1973171234131,18.4891700744629,18.1872520446777,18.0401706695557
